16e930	16e930	16ea9a
16eaa0	16eaa0	16ebfb
16ec00	16ec00	16ed63
16ed70	16ed70	16ef05
16ef10	16ef10	16f0b7
16f0c0	16f0c0	16f256
16f260	16f260	16f459
16f460	16f460	16f71c
16f720	16f720	16fa3b
16fa40	16fa40	16fced
16fcf0	16fcf0	16fff5
170000	170000	170305
170ac8	170ac8	170bfa
170c5c	170c5c	170dc0
170dc0	170dc0	170fa0
170fa0	170fa0	171d5e
171d60	171d60	172d58
172d60	172d60	172fd9
172fe0	172fe0	173122
173130	173130	173391
173394	173394	173416
17346c	17346c	1735a4
173608	173608	173772
173774	173774	173992
1739a0	1739a0	17475e
174760	174760	175758
175760	175760	1759d9
1759e0	1759e0	175b22
175b30	175b30	175d91
175d94	175d94	175e16
175e68	175e68	175f9a
175ffc	175ffc	176160
176160	176160	17637a
176380	176380	17713e
177140	177140	178138
178140	178140	1783b9
1783c0	1783c0	178502
178510	178510	178771
178774	178774	1787f6
1787f8	1787f8	17892a
17892c	17892c	178a90
178a90	178a90	178caa
178cac	178cac	178db4
178db4	178db4	178eee
178ef0	178ef0	17918c
1792ec	1792ec	17941e
179420	179420	179584
179584	179584	17982a
17982c	17982c	179871
179871	179871	17989f
17989f	17989f	1798ad
1798ad	1798ad	1798de
1798de	1798de	1798fa
179900	179900	17a41d
17a420	17a420	17b034
17b040	17b040	17b618
17b620	17b620	17bc5f
17bc60	17bc60	17c4ff
17c500	17c500	17cdef
17cdf0	17cdf0	17d023
17d030	17d030	17d2eb
17d2f0	17d2f0	17dcd6
17dce0	17dce0	17e78e
17e790	17e790	17eef0
17eef0	17eef0	17f755
17f760	17f760	180072
180080	180080	1809c7
1809d0	1809d0	180d46
180d50	180d50	1810ea
1810f0	1810f0	18181b
181820	181820	18202f
182030	182030	18256d
182570	182570	182b30
182b30	182b30	182c3e
182c40	182c40	182d82
182d84	182d84	18306a
1831e0	1831e0	183318
183318	183318	183482
183484	183484	183762
183764	183764	183792
1837a0	1837a0	1842bd
1842c0	1842c0	184ed4
184ee0	184ee0	1854b8
1854c0	1854c0	185aff
185b00	185b00	18639f
1863a0	1863a0	186c8f
186c90	186c90	186ec3
186ed0	186ed0	18718b
187190	187190	187b76
187b80	187b80	18862e
188630	188630	188d90
188d90	188d90	1895f5
189600	189600	189f12
189f20	189f20	18a867
18a870	18a870	18abe6
18abf0	18abf0	18af8a
18af90	18af90	18b6bb
18b6c0	18b6c0	18becf
18bed0	18bed0	18c40d
18c410	18c410	18c9d0
18c9d0	18c9d0	18cad8
18cad8	18cad8	18cc12
18cc14	18cc14	18cef6
18d058	18d058	18d18a
18d18c	18d18c	18d2f0
18d2f0	18d2f0	18d5ce
18d5d0	18d5d0	18d5fe
18d600	18d600	18e11d
18e120	18e120	18ed34
18ed40	18ed40	18f318
18f320	18f320	18f95f
18f960	18f960	1901ff
190200	190200	190aef
190af0	190af0	190d23
190d30	190d30	190feb
190ff0	190ff0	1919d6
1919e0	1919e0	19248e
192490	192490	192bf0
192bf0	192bf0	193455
193460	193460	193d72
193d80	193d80	1946c7
1946d0	1946d0	194a46
194a50	194a50	194dea
194df0	194df0	19551b
195520	195520	195d2f
195d30	195d30	19626d
196270	196270	196830
196830	196830	196938
196938	196938	196a72
196a74	196a74	196d56
196d58	196d58	196e8a
196e8c	196e8c	196ff0
196ff0	196ff0	1972ce
1972d0	1972d0	1972fe
197300	197300	197412
197414	197414	19753d
19753d	19753d	1979c3
1979c3	1979c3	1979fa
1979fa	1979fa	197c69
197c69	197c69	197ca1
197ca1	197ca1	197f2e
197f2e	197f2e	197f66
197f66	197f66	1981f6
1981f6	1981f6	19820f
19820f	19820f	19848c
19848c	19848c	19849c
19849c	19849c	198546
19849c	198546	198669
19849c	198669	1986f4
1986f4	1986f4	198722
198722	198722	198b68
198b68	198b68	198b72
198b74	198b74	198efc
198b74	198efc	19909c
198b74	19909c	1991d8
1991d8	1991d8	19920a
19920a	19920a	19927b
19927b	19927b	1992a4
1992a4	1992a4	199bc6
199bc8	199bc8	199eec
199eec	199eec	199f08
199f08	199f08	19a1cd
199f08	19a1d5	19a2ec
19a1cd	19a1cd	19a1d5
19a2ec	19a2ec	19ac6e
19ac70	19ac70	19af94
19af94	19af94	19afb0
19afb0	19afb0	19b275
19afb0	19b27d	19b394
19b275	19b275	19b27d
19b394	19b394	19bd16
19bd18	19bd18	19c03c
19c03c	19c03c	19c058
19c058	19c058	19c31d
19c058	19c325	19c43c
19c31d	19c31d	19c325
19c43c	19c43c	19c565
19c565	19c565	19c9eb
19c9eb	19c9eb	19ca22
19ca22	19ca22	19cc91
19cc91	19cc91	19ccc9
19ccc9	19ccc9	19cf56
19cf56	19cf56	19cf8e
19cf8e	19cf8e	19d21e
19d21e	19d21e	19d237
19d237	19d237	19d4b4
19d4b4	19d4b4	19d4c4
19d4c4	19d4c4	19d56e
19d4c4	19d56e	19d691
19d4c4	19d691	19d71c
19d71c	19d71c	19d74b
19d74b	19d74b	19db85
19db85	19db85	19db8e
19db90	19db90	19df18
19db90	19df18	19e0bc
19db90	19e0bc	19e1f8
19e1f8	19e1f8	19eb1a
19eb1c	19eb1c	19ee40
19ee40	19ee40	19f7c2
19f7c4	19f7c4	19fae8
19fae8	19fae8	1a046a
1a046c	1a046c	1a0790
1a0790	1a0790	1a0922
1a0924	1a0924	1a0bf4
1a0bf4	1a0bf4	1a0d96
1a0d98	1a0d98	1a107a
1a107c	1a107c	1a121e
1a1220	1a1220	1a1502
1a1504	1a1504	1a16a6
1a16a8	1a16a8	1a198a
1a198c	1a198c	1a19c1
1a19c1	1a19c1	1a1a7d
1a1a7d	1a1a7d	1a1a9a
1a1a9a	1a1a9a	1a1b5a
1a1b60	1a1b60	1a1c9d
1a1ca0	1a1ca0	1a1dfc
1a1e00	1a1e00	1a1f3d
1a1f40	1a1f40	1a209c
1a20a0	1a20a0	1a21dd
1a21e0	1a21e0	1a233c
1a2340	1a2340	1a244c
1a2450	1a2450	1a255c
1a2560	1a2560	1a266c
1a28b4	1a28b4	1a2a58
1a2a58	1a2a58	1a2b9c
1a2b9c	1a2b9c	1a2c55
1a2c55	1a2c55	1a2cd0
1a2cd0	1a2cd0	1a2ce6
1a2ce6	1a2ce6	1a2d6a
1a2d6a	1a2d6a	1a2d72
1a2d74	1a2d74	1a2dc7
1a2dc7	1a2dc7	1a2e1e
1a2e1e	1a2e1e	1a2e3e
1a2e40	1a2e40	1a2eb8
1a2eb8	1a2eb8	1a3055
1a3055	1a3055	1a3064
1a3064	1a3064	1a319a
1a319c	1a319c	1a375e
1a3760	1a3760	1a3884
1a3884	1a3884	1a393e
1a3940	1a3940	1a39f9
1a39f9	1a39f9	1a3a74
1a3a74	1a3a74	1a3a8a
1a3a8a	1a3a8a	1a3b0e
1a3b0e	1a3b0e	1a3b16
1a3b8c	1a3b8c	1a3bd9
1a3bd9	1a3bd9	1a5dd9
1a5dd9	1a5dd9	1a5de2
1a5de4	1a5de4	1a5f4a
1a5f4c	1a5f4c	1aa0f4
1aa0f4	1aa0f4	1aa218
1aa218	1aa218	1aa2d2
1aa2d4	1aa2d4	1aa38d
1aa38d	1aa38d	1aa408
1aa408	1aa408	1aa41e
1aa41e	1aa41e	1aa4a2
1aa4a2	1aa4a2	1aa4aa
1aa520	1aa520	1aa578
1aa578	1aa578	1ac757
1ac757	1ac757	1ac762
1ac764	1ac764	1ac8ca
1ac8cc	1ac8cc	1b0a74
1b0a74	1b0a74	1b0b98
1b0b98	1b0b98	1b0c52
1b0c54	1b0c54	1b0d0d
1b0d0d	1b0d0d	1b0d88
1b0d88	1b0d88	1b0d9e
1b0d9e	1b0d9e	1b0e22
1b0e22	1b0e22	1b0e2a
1b0e2c	1b0e2c	1b0f92
1b0f94	1b0f94	1b513c
1b513c	1b513c	1b5170
1b5170	1b5170	1b521f
1b5220	1b5220	1b5396
1b53a0	1b53a0	1b57b5
1b57c0	1b57c0	1b586f
1b5870	1b5870	1b59e6
1b59f0	1b59f0	1b5e05
1b5e10	1b5e10	1b5ede
1b5ee0	1b5ee0	1b60b8
